model,condition,seed,unit,signal,turn,cusum,ph
qwen3-235b,base,1,A1,H,9,0.09559458596932158,0.09559458596932158
qwen3-235b,base,1,A1,H,10,0.0,0.0
qwen3-235b,base,1,A1,H,11,0.7718515479373775,0.7718515479373775
qwen3-235b,base,1,A1,H,12,0.5419470411669152,0.5419470411669152
qwen3-235b,base,1,A1,H,13,0.33793966201210834,0.33793966201210834
qwen3-235b,base,1,A1,H,14,0.44991058243461535,0.44991058243461535
qwen3-235b,base,1,A1,H,15,0.12272155252658468,0.12272155252658468
qwen3-235b,base,1,A1,H,16,0.023955925275026768,0.023955925275026713
qwen3-235b,base,1,A1,H,17,0.0,0.0
qwen3-235b,base,1,A1,H,18,0.0,0.0
qwen3-235b,base,1,A1,H,19,0.0,0.0
qwen3-235b,base,1,A1,H,20,0.0,0.0
qwen3-235b,base,1,A1,H,21,0.0,0.0
qwen3-235b,base,1,A1,H,22,0.0,0.0
qwen3-235b,base,1,A1,H,23,0.18788724714645721,0.18788724714645788
qwen3-235b,base,1,A1,H,24,0.0,0.0
qwen3-235b,base,1,A1,H,25,0.18656027987194757,0.1865602798719479
qwen3-235b,base,1,A1,H,26,0.11229222146706797,0.11229222146706874
qwen3-235b,base,1,A1,H,27,0.41831924308752155,0.41831924308752244
qwen3-235b,base,1,A1,H,28,0.5623368992127653,0.5623368992127662
qwen3-235b,base,1,A1,H,29,0.4292222227452036,0.4292222227452047
qwen3-235b,base,1,A1,H,30,0.2547673616361752,0.2547673616361763
qwen3-235b,base,1,A2,H,8,0.0,0.0
qwen3-235b,base,1,A2,H,9,0.34928390757488925,0.34928390757488925
qwen3-235b,base,1,A2,H,10,0.7361969973453382,0.7361969973453382
qwen3-235b,base,1,A2,H,11,0.09259829859760449,0.09259829859760454
qwen3-235b,base,1,A2,H,12,0.21694195325527676,0.21694195325527682
qwen3-235b,base,1,A2,H,13,0.0,0.0
qwen3-235b,base,1,A2,H,14,0.23523051203207346,0.23523051203207346
qwen3-235b,base,1,A2,H,15,1.0594570582280316,1.0594570582280316
qwen3-235b,base,1,A2,H,16,0.3587200913416462,0.3587200913416462
qwen3-235b,base,1,A2,H,17,0.0,0.0
qwen3-235b,base,1,A2,H,18,0.0,0.0
qwen3-235b,base,1,A2,H,19,0.0,0.0
qwen3-235b,base,1,A2,H,20,0.029429922277324994,0.029429922277325105
qwen3-235b,base,2,A1,H,8,0.0,0.0
qwen3-235b,base,2,A1,H,9,0.35642785130241006,0.35642785130241006
qwen3-235b,base,2,A1,H,10,0.8119011790330064,0.8119011790330065
qwen3-235b,base,2,A1,H,11,0.1465680747054363,0.14656807470543642
qwen3-235b,base,2,A1,H,12,0.4976976467977998,0.4976976467977998
qwen3-235b,base,2,A1,H,13,0.9432868184708281,0.9432868184708281
qwen3-235b,base,2,A1,H,14,1.317863235766783,1.317863235766783
qwen3-235b,base,2,A1,H,15,1.538373306481796,1.538373306481796
qwen3-235b,base,2,A1,H,16,1.8755996945042548,1.8755996945042548
qwen3-235b,base,2,A1,H,17,2.326264937817876,2.326264937817876
qwen3-235b,base,2,A1,H,18,2.6124156764753113,2.6124156764753113
