model,align,role,rel,metric,n,mean,ci_low,ci_high,frac_read_log
llama-3.3-70b,tau_read,author,3,mean_surprisal_bits,37,0.3500327159478129,0.25054212541131055,0.44765306816431505,0.24324324324324326
llama-3.3-70b,tau_read,author,4,y_raw,38,0.10259819635388295,0.05166086249110905,0.1572585120573736,0.6578947368421053
llama-3.3-70b,tau_read,author,4,y_adj,38,0.15780500748772414,0.13381753072451455,0.18196960994732345,0.6578947368421053
llama-3.3-70b,tau_read,author,4,mean_surprisal_bits,38,0.11383837746952502,0.05395141482362512,0.17864229330857254,0.6578947368421053
llama-3.3-70b,tau_read,author,5,y_raw,39,0.21659473561837714,0.15256686752951998,0.28374669931969365,0.3076923076923077
llama-3.3-70b,tau_read,author,5,y_adj,39,0.16459234763585232,0.13175208164979,0.20261917949125607,0.3076923076923077
llama-3.3-70b,tau_read,author,5,mean_surprisal_bits,39,0.2030860675861894,0.13975196665219172,0.2740554099738493,0.3076923076923077
llama-3.3-70b,tau_read,receiver,-5,y_raw,40,0.2869163040432814,0.23514595761114745,0.3387927797772722,0.125
llama-3.3-70b,tau_read,receiver,-5,y_adj,40,0.1498917549921722,0.10954936394164959,0.192161003472932,0.125
llama-3.3-70b,tau_read,receiver,-5,mean_surprisal_bits,40,0.2702826177106315,0.2068504860979971,0.3424715435486822,0.125
llama-3.3-70b,tau_read,receiver,-4,y_raw,40,0.036330582144074565,0.009721156825092088,0.07023141195142762,0.875
llama-3.3-70b,tau_read,receiver,-4,y_adj,40,0.1673229201935105,0.15605564928077498,0.17631066128531564,0.875
llama-3.3-70b,tau_read,receiver,-4,mean_surprisal_bits,40,0.026041657534298816,0.00657289666956097,0.05025563273275141,0.875
llama-3.3-70b,tau_read,receiver,-3,y_raw,36,0.407799680946063,0.3469723341953721,0.46775858593244896,0.027777777777777776
llama-3.3-70b,tau_read,receiver,-3,y_adj,36,0.23600521874186553,0.18169530856122817,0.2907438060204003,0.027777777777777776
llama-3.3-70b,tau_read,receiver,-3,mean_surprisal_bits,36,0.3986103936136425,0.30498364070594275,0.5050237502079928,0.027777777777777776
llama-3.3-70b,tau_read,receiver,-2,y_raw,40,0.017644616335958953,0.0004792977283002981,0.05191909854973194,0.9
llama-3.3-70b,tau_read,receiver,-2,y_adj,40,0.18248101327471827,0.17352844497559727,0.199310151863031,0.9
llama-3.3-70b,tau_read,receiver,-2,mean_surprisal_bits,40,0.012014708467009336,4.7435885438602974e-05,0.035943278423224735,0.9
llama-3.3-70b,tau_read,receiver,-1,y_raw,40,0.41020551131720123,0.36748469884135954,0.45495103408426263,0.0
llama-3.3-70b,tau_read,receiver,-1,y_adj,40,0.22874062771198797,0.18398987851682283,0.27479974386409534,0.0
llama-3.3-70b,tau_read,receiver,-1,mean_surprisal_bits,40,0.44883232404451157,0.38194997555099947,0.5181903602618327,0.0
llama-3.3-70b,tau_read,receiver,0,y_raw,40,0.00060997222955345,0.0005593815744659842,0.0006668056004180583,1.0
llama-3.3-70b,tau_read,receiver,0,y_adj,40,0.17417327615925599,0.17247126796364068,0.17533024406474856,1.0
llama-3.3-70b,tau_read,receiver,0,mean_surprisal_bits,40,6.085680852455833e-05,5.577473495902027e-05,6.664833611295166e-05,1.0
llama-3.3-70b,tau_read,receiver,1,y_raw,36,0.4336898895411765,0.3917488028543651,0.4763501672143399,0.0
llama-3.3-70b,tau_read,receiver,1,y_adj,36,0.23951581710731984,0.19783067388010642,0.28187759304796745,0.0
llama-3.3-70b,tau_read,receiver,1,mean_surprisal_bits,36,0.4591823785031346,0.3950580436919087,0.5288949240073529,0.0
llama-3.3-70b,tau_read,receiver,2,y_raw,40,0.015888234964819385,0.0005600415969743951,0.040856616948946246,0.925
llama-3.3-70b,tau_read,receiver,2,y_adj,40,0.1758183916368088,0.17292483277181317,0.18012836727126325,0.925
llama-3.3-70b,tau_read,receiver,2,mean_surprisal_bits,40,0.01723961102450566,5.549974572401554e-05,0.044711175256979055,0.925
llama-3.3-70b,tau_read,receiver,3,y_raw,36,0.3935498976168354,0.3319015533222928,0.45297919405236414,0.05555555555555555
llama-3.3-70b,tau_read,receiver,3,y_adj,36,0.22415517325882803,0.1749678610003545,0.2718646125754045,0.05555555555555555
llama-3.3-70b,tau_read,receiver,3,mean_surprisal_bits,36,0.4230868654175468,0.34509259754646726,0.5055015565607544,0.05555555555555555
llama-3.3-70b,tau_read,receiver,4,y_raw,39,0.05222631718390209,0.009316885499715063,0.10215308813856092,0.8205128205128205
llama-3.3-70b,tau_read,receiver,4,y_adj,39,0.1766515151307998,0.16087962344291692,0.19949234122737466,0.8205128205128205
llama-3.3-70b,tau_read,receiver,4,mean_surprisal_bits,39,0.06516544474487117,0.012870533636768844,0.12998717156185516,0.8205128205128205
llama-3.3-70b,tau_read,receiver,5,y_raw,39,0.2686717037874124,0.2139599643059453,0.32515619197851325,0.15384615384615385
llama-3.3-70b,tau_read,receiver,5,y_adj,39,0.14961810600359643,0.11598061630515598,0.18736981332952274,0.15384615384615385
llama-3.3-70b,tau_read,receiver,5,mean_surprisal_bits,39,0.2442614590240175,0.18868980784572342,0.3004195629623673,0.15384615384615385
llama-3.3-70b,tau_use,author,-5,y_raw,38,0.07987816928361292,0.03226505318454563,0.1365567897635445,0.7631578947368421
llama-3.3-70b,tau_use,author,-5,y_adj,38,0.17629254935637556,0.16017738827251435,0.1933398926724835,0.7631578947368421
llama-3.3-70b,tau_use,author,-5,mean_surprisal_bits,38,0.07582828890778887,0.027447801745758036,0.13498377683122442,0.7631578947368421
llama-3.3-70b,tau_use,author,-4,y_raw,37,0.2886186350335209,0.23021133221417092,0.3468369412712957,0.21621621621621623
llama-3.3-70b,tau_use,author,-4,y_adj,37,0.18060449947378218,0.1498003510959175,0.21135153805353996,0.21621621621621623
llama-3.3-70b,tau_use,author,-4,mean_surprisal_bits,37,0.2891700226530168,0.2164900271251025,0.36553990660950025,0.21621621621621623
llama-3.3-70b,tau_use,author,-3,y_raw,37,0.08392846385591247,0.030906089470988166,0.1403106190328414,0.7837837837837838
llama-3.3-70b,tau_use,author,-3,y_adj,37,0.17724932416566172,0.15879285406464624,0.19651323373263926,0.7837837837837838
llama-3.3-70b,tau_use,author,-3,mean_surprisal_bits,37,0.08920137554276297,0.031079882358881313,0.15543369587055778,0.7837837837837838
llama-3.3-70b,tau_use,author,-2,y_raw,38,0.2930830592708748,0.22906967266069578,0.3607422683508024,0.21052631578947367
llama-3.3-70b,tau_use,author,-2,y_adj,38,0.1865332279131081,0.1464025456659846,0.23634160922770414,0.21052631578947367
llama-3.3-70b,tau_use,author,-2,mean_surprisal_bits,38,0.3118046906274941,0.2293165245632609,0.40750626635085274,0.21052631578947367
llama-3.3-70b,tau_use,author,-1,y_raw,36,0.09994199446981539,0.04792585682067684,0.15972753095888106,0.7222222222222222
llama-3.3-70b,tau_use,author,-1,y_adj,36,0.17500834918450547,0.15464175328369412,0.19600764871102014,0.7222222222222222
llama-3.3-70b,tau_use,author,-1,mean_surprisal_bits,36,0.11423619435964352,0.05611049423662341,0.17920828745605308,0.7222222222222222
llama-3.3-70b,tau_use,author,0,y_raw,32,0.2690225100478354,0.18260651033358127,0.3619492918968926,0.28125
llama-3.3-70b,tau_use,author,0,y_adj,32,0.20551137155809124,0.15481026885204704,0.2630155820320549,0.28125
llama-3.3-70b,tau_use,author,0,mean_surprisal_bits,32,0.29174353429560834,0.19221309097972136,0.3997336297013126,0.28125
llama-3.3-70b,tau_use,author,1,y_raw,33,0.09332014297004954,0.04138871036600165,0.1520394519178285,0.6363636363636364
llama-3.3-70b,tau_use,author,1,y_adj,33,0.1594985881115654,0.13484708175333668,0.18109688232489066,0.6363636363636364
llama-3.3-70b,tau_use,author,1,mean_surprisal_bits,33,0.0908210248105077,0.04100856832085705,0.1459763618185924,0.6363636363636364
llama-3.3-70b,tau_use,author,2,y_raw,34,0.2159541715284628,0.14271649143677811,0.2962228523289173,0.3235294117647059
llama-3.3-70b,tau_use,author,2,y_adj,34,0.17725505546360362,0.1350489388126598,0.226198904206292,0.3235294117647059
llama-3.3-70b,tau_use,author,2,mean_surprisal_bits,34,0.21520462915159197,0.13152931824031194,0.3111426079892926,0.3235294117647059
llama-3.3-70b,tau_use,author,3,y_raw,28,0.12587210949984412,0.06388162571107504,0.19510136193957306,0.5714285714285714
llama-3.3-70b,tau_use,author,3,y_adj,28,0.17181774420200213,0.1487722782331436,0.19361359611864237,0.5714285714285714
llama-3.3-70b,tau_use,author,3,mean_surprisal_bits,28,0.1255382796318673,0.05819599871801247,0.20285474957507005,0.5714285714285714
llama-3.3-70b,tau_use,author,4,y_raw,28,0.21514135295717965,0.13648150274045603,0.304751628245713,0.21428571428571427
llama-3.3-70b,tau_use,author,4,y_adj,28,0.1675015032140548,0.11841585057985861,0.2255205852546161,0.21428571428571427
llama-3.3-70b,tau_use,author,4,mean_surprisal_bits,28,0.19977799584802808,0.11954323251786696,0.2903747847307135,0.21428571428571427
llama-3.3-70b,tau_use,author,5,y_raw,24,0.1423215793230563,0.0841015735488076,0.20390037157594001,0.5
llama-3.3-70b,tau_use,author,5,y_adj,24,0.1467211470945938,0.11958511014819212,0.169210160759413,0.5
llama-3.3-70b,tau_use,author,5,mean_surprisal_bits,24,0.13398911183390083,0.0734872065357576,0.19883634582747042,0.5
llama-3.3-70b,tau_use,receiver,-5,y_raw,38,0.03794746622233087,0.0067786311304503175,0.0796083260429456,0.868421052631579
llama-3.3-70b,tau_use,receiver,-5,y_adj,38,0.17493688489213174,0.16364924100814296,0.1867646582271288,0.868421052631579
llama-3.3-70b,tau_use,receiver,-5,mean_surprisal_bits,38,0.03276808065308402,0.004545644108761499,0.07204334229331437,0.868421052631579
llama-3.3-70b,tau_use,receiver,-4,y_raw,33,0.4443369199256886,0.38027977757150233,0.510851477266662,0.06060606060606061
llama-3.3-70b,tau_use,receiver,-4,y_adj,33,0.2813834101906256,0.2284540569601286,0.337226742374979,0.06060606060606061
llama-3.3-70b,tau_use,receiver,-4,mean_surprisal_bits,33,0.5401801408661513,0.43160526941173455,0.6507944048536763,0.06060606060606061
llama-3.3-70b,tau_use,receiver,-3,y_raw,37,0.01352987268316575,0.0005484326113503971,0.03942921033513867,0.918918918918919
llama-3.3-70b,tau_use,receiver,-3,y_adj,37,0.17691615748988757,0.17288617382363664,0.18281068593702288,0.918918918918919
llama-3.3-70b,tau_use,receiver,-3,mean_surprisal_bits,37,0.013445328882983859,5.444210029054137e-05,0.040220280313190304,0.918918918918919
llama-3.3-70b,tau_use,receiver,-2,y_raw,37,0.4287700224243727,0.3786835368002179,0.48558816452895553,0.0
llama-3.3-70b,tau_use,receiver,-2,y_adj,37,0.23921395513810284,0.18921733061506338,0.2946088275377494,0.0
llama-3.3-70b,tau_use,receiver,-2,mean_surprisal_bits,37,0.4342568109285444,0.3801855906167605,0.49641410724301555,0.0
