model,condition,turn,runs_present,runs_paired,H1_bits,H2_bits,sum_H_bits,I_bits,H_system_bits,I_shuffled_bits,I_minus_shuffled_bits,hard_H1_bits,hard_H2_bits,hard_I_bits,hard_I_miller_madow_bits,hard_H_system_bits,p1_READ,p1_WRITE,p1_DECRYPT,p1_SUBMIT,p1_OTHER,p1_DONE,p2_READ,p2_WRITE,p2_DECRYPT,p2_SUBMIT,p2_OTHER,p2_DONE,tokH_A1_mean,tokS_A1_mean,tokH_A1_n,tokH_A2_mean,tokS_A2_mean,tokH_A2_n
gpt-4o-mini,placebo,1,20,20,0.00022694566514618964,0.002445027961906936,0.0026719736270531254,8.961891992398385e-12,0.0026719736180912334,2.5452730201269702e-14,8.936439262197116e-12,0.0,0.0,0.0,0.0,0.0,2.5614413596785415e-06,9.457374243131488e-06,0.9999878060434304,0.0,1.7514096667785464e-07,0.0,0.00012670719429319605,3.8247176477020946e-05,0.9998348139715223,0.0,2.316577074085181e-07,0.0,0.012104305412764636,0.026371099360392752,20,0.010664188755642989,0.017753907798943792,20
gpt-4o-mini,placebo,2,20,20,0.0366072069162364,0.0003023451079371266,0.03690955202417353,4.27877914349617e-09,0.036909547745394386,1.064424937080588e-11,4.268134894125364e-09,0.0,0.0,0.0,0.0,0.0,0.0038563415036530274,0.9961365663754205,7.01540544782085e-06,7.084542139913315e-09,6.963093639569286e-08,0.0,1.744822657588727e-05,0.9999824979880042,0.0,0.0,5.3785419780793925e-08,0.0,0.3477034856045139,0.3352174585388457,20,0.18776025812757366,0.1766328623090833,20
gpt-4o-mini,placebo,3,20,20,0.9284754860681782,0.9124426844664775,1.8409181705346556,0.013921671250614942,1.8269964992840406,3.894475944621334e-05,0.013882726491168729,0.934068055375491,0.6098403047164003,0.0001564056713891926,-0.03591097035083489,1.543751954420502,0.3417521713775235,0.00014611783193933602,0.6581014631066586,5.41083096575983e-09,2.422730474454067e-07,0.0,0.18348668657010764,0.03866781083765851,0.7778343276194406,8.505585981096354e-06,2.6693868122187147e-06,0.0,0.46982034115173565,0.44462648629570467,20,0.2225770657012926,0.23807747865886536,20
gpt-4o-mini,placebo,4,20,20,0.52052544650533,1.308408540160365,1.8289339866656948,0.009785241410102063,1.8191487452555928,2.6475007270043704e-05,0.00975876640283202,0.46899559358928133,1.4406454496153462,0.027412324290826184,-0.008655051731397898,1.8822287189138014,0.002447260603514093,0.10875766406688889,0.8887941746623953,1.5359907582711746e-07,7.470681256632399e-07,0.0,0.07577886097657191,0.49572626721592555,0.42845706803735445,3.064635746107038e-05,7.157412686889865e-06,0.0,0.2740829509959422,0.2388327021603863,20,0.29472636279480224,0.43536614720297245,20
gpt-4o-mini,placebo,5,20,20,0.9866119589755052,1.2656423859726356,2.252254344948141,0.07479222071519098,2.17746212423295,0.00021126569605200984,0.07458095501913897,0.9709505944546686,1.278897902987479,0.09213102831199915,0.01999627626755099,2.1577174691301484,0.002729770205130541,0.6125166550965925,0.3847528313297796,1.352850782857257e-07,6.080834188525317e-07,0.0,0.1226857572882338,0.6503712327650107,0.22645365524751596,0.0004885440472756086,8.106519638322889e-07,0.0,0.2769039293139481,0.2648508987121364,20,0.2718421186272556,0.24389378455759872,20
gpt-4o-mini,placebo,6,20,20,1.2395032273157878,1.3936780087610703,2.633181236076858,0.04398231280672604,2.589198923270132,0.00011617716713008264,0.04386613563959596,1.188376371734507,1.3689955935892815,0.09141464437461355,0.019279892330165388,2.465957320949175,0.06523583904506297,0.34977682080885997,0.5849870582636733,7.49267149216792e-08,2.069556887678939e-07,0.0,0.13876523568199534,0.3107618065106138,0.5504607446218321,8.690074169458916e-06,3.523111389191228e-06,0.0,0.2692942662480342,0.19707160868729326,20,0.3476047015610529,0.34696184775998506,20
gpt-4o-mini,placebo,7,20,20,1.2505611259557732,1.3553582212336737,2.605919347189447,0.05404719073821074,2.5518721564512363,0.00015144049191606612,0.05389575024629467,1.1567796494470395,1.4060075793123286,0.30182318131568664,0.22968842927123848,2.2609640474436814,0.1271080585391942,0.21381564082776067,0.6590753086636683,1.1217043787198622e-07,8.797989389421268e-07,0.0,0.14040228289400342,0.2683352602057474,0.5912536037029797,4.56631179671815e-06,4.286885472631879e-06,0.0,0.45095482143749904,0.4835331714318796,20,0.40472373173778775,0.4292982801607314,20
gpt-4o-mini,placebo,8,20,20,1.2340905336541548,1.2249680489949564,2.459058582649111,0.11364329056482259,2.3454152920842883,0.0003018053031014212,0.11334148526172116,0.9709505944546686,1.2192407046368487,0.1242339781423425,0.08816660212011841,2.065957320949175,0.05445014690023804,0.39942211240141623,0.5461268970116827,2.595205167156824e-07,5.841661461190148e-07,0.0,0.050166031800533493,0.4117362016724747,0.5380866740453567,9.763365300680474e-06,1.3291163342977995e-06,0.0,0.32512332622077894,0.31925879433480053,20,0.23661885029252927,0.24153061614229623,20
gpt-4o-mini,placebo,9,20,20,1.3305763389062126,1.6076115737885295,2.938187912694742,0.15973114104618258,2.7784567716485595,0.0003993011482599229,0.15933183989792266,0.9709505944546686,1.6841837197791887,0.12692136839285562,0.05478661634840745,2.5282129458410014,0.08720466457478314,0.4022248211113185,0.5105700789052865,1.0448432988077775e-07,3.309242819433103e-07,0.0,0.1091253336551887,0.38741409348187916,0.4549175550503928,0.048539960103476124,3.0577090632728593e-06,0.0,0.3671829620590231,0.40965007051202884,20,0.2714646943542747,0.3159134205724847,20
gpt-4o-mini,placebo,10,20,20,1.3551442719713458,1.8891086053240842,3.24425287729543,0.2462024820431843,2.9980503952522457,0.0006004298586472778,0.245602052184537,1.3366664819166874,1.9393538721672008,0.40506975962921965,0.33293500758477146,2.8709505944546687,0.11394212641245902,0.32926282707403914,0.5567942955371172,1.0201390869836228e-07,6.489624757847053e-07,0.0,0.06992574650222014,0.3397392437926525,0.42948482120148473,0.11084728661693892,2.901886703711741e-06,0.05,0.5271740164909658,0.5038473803601515,20,0.23281131024932664,0.34310300870418886,19
gpt-4o-mini,placebo,11,20,20,1.7666985462474827,1.8246195914118446,3.5913181376593273,0.3163092374415055,3.2750089002178218,0.0009600232333051295,0.3153492142082004,1.719973094021975,1.9854752972273344,0.583520296361947,0.5113855443174988,3.1219280948873624,0.20457962661903978,0.3138335760103364,0.419882397856208,0.061702754547060826,1.644967354957419e-06,0.0,0.05508975512933626,0.138882620237997,0.5619363910177474,0.09408849958215353,2.734032765828941e-06,0.15,0.4289450257118041,0.46313404619453147,20,0.19421752828923353,0.2546754102019565,17
