model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,1,22,A1,48,3.2495699933966355e-06,1.5297465190521457e-06,3.2495699933966355e-06,1.6099504590618874e-06,1.0,1.0000000555931954,20
qwen3-235b,base,1,22,A1,50,1.0734063935732336,1.0733400128518071,1.0734063935732336,1.0733279948944774,1.0,0.9999674613065594,20
qwen3-235b,base,1,22,A1,54,0.5270704450029787,0.18411023646279107,0.5270704450029787,0.18410817927975043,1.0,0.999998365480341,20
qwen3-235b,base,1,22,A1,57,0.0004825268966132,5.1044126668777316e-05,0.0004825268966132,5.0923765440634704e-05,1.0,0.9999999165690057,20
qwen3-235b,base,2,1,A1,4,8.831693970012971e-06,2.3263826769026143e-07,8.831693970012971e-06,2.4366303693444235e-07,1.0,1.000000007641789,20
qwen3-235b,base,2,1,A1,13,1.928425458642665e-06,5.525662199243971e-07,1.928425458642665e-06,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,2,1,A1,14,1.1903287259331186e-05,5.525662199243971e-07,1.1903287259331186e-05,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,2,1,A1,15,3.648244012532804e-06,5.525662199243971e-07,3.648244012532804e-06,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,2,1,A1,17,0.0004632328844925,0.0004609971153003209,0.0004632328844925,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,2,1,A1,18,0.0004628889206669,0.0004609971153003209,0.0004628889206669,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,2,1,A1,19,0.0074346267288682,0.0004609971153003209,0.0074346267288682,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,2,1,A2,7,1.3959056864666406,1.3959051705189545,1.3959056864666406,1.40682775826535,1.0,0.8541318404273734,20
qwen3-235b,base,2,1,A2,8,1.3959051705189545,1.3959051705189545,1.3959051705189545,1.40682775826535,1.0,0.8541318404273734,20
qwen3-235b,base,2,1,A2,9,1.3959056864666406,1.3959051705189545,1.3959056864666406,1.40682775826535,1.0,0.8541318404273734,20
qwen3-235b,base,2,1,A2,15,6.719444767409231e-06,3.4517854105383144e-06,6.719444767409231e-06,3.4659125173423065e-06,1.0,1.0000000097921877,20
qwen3-235b,base,2,1,A2,17,6.668756337911911e-06,2.369209440632909e-06,6.668756337911911e-06,2.324485846332144e-06,1.0,0.9999999689999163,20
qwen3-235b,base,2,2,A1,18,0.0002455421881447,1.560715062625364e-06,0.0002455421881447,1.6469230101102791e-06,1.0,1.0000000597548622,20
qwen3-235b,base,2,2,A1,49,0.000109926103684,1.9331250078086254e-06,0.000109926103684,2.039907760684806e-06,1.0,1.000000074016266,17
qwen3-235b,base,2,2,A2,5,0.0779751690211364,0.0015659589210821987,0.0779751690211364,0.001565907530241011,1.0,0.999999964339877,20
qwen3-235b,base,2,2,A2,9,0.0014981150602227,3.5049763012195867e-06,0.0014981150602227,3.5257493743061297e-06,1.0,1.0000000143988321,20
qwen3-235b,base,2,2,A2,13,4.764111062700117e-06,2.356359937178726e-06,4.764111062700117e-06,2.4908395434013296e-06,1.0,1.0000000932143165,20
qwen3-235b,base,2,2,A2,14,3.560236996578214e-06,2.356359937178726e-06,3.560236996578214e-06,2.4908395434013296e-06,1.0,1.0000000932143165,20
qwen3-235b,base,2,2,A2,21,0.5231019608471162,3.0259547892241873e-06,0.5231019608471162,3.0144341803655606e-06,1.0,0.9999999920145057,20
qwen3-235b,base,2,2,A2,22,0.2375837485846463,3.0259547892241873e-06,0.2375837485846463,3.0144341803655606e-06,1.0,0.9999999920145057,20
qwen3-235b,base,2,2,A2,26,2.644022090478968e-06,4.082528982537825e-07,2.644022090478968e-06,4.2837409352265e-07,1.0,1.0000000139469538,20
qwen3-235b,base,2,2,A2,27,4.535818805322149e-06,4.082528982537825e-07,4.535818805322149e-06,4.2837409352265e-07,1.0,1.0000000139469538,20
qwen3-235b,base,2,2,A2,31,0.0260428814962009,0.026011925616566216,0.0260428814962009,0.02601193035170849,1.0,1.0000000033424146,20
qwen3-235b,base,2,2,A2,39,0.9891930115522424,0.9891579283723956,0.9891930115522424,0.9891579123276234,1.0,0.999999964623022,20
qwen3-235b,base,2,2,A2,46,0.0007217072623283,0.0007205033852689275,0.0007217072623283,0.0007204774132205753,1.0,0.9999999819885529,20
qwen3-235b,base,2,2,A2,69,2.510214505973752e-06,1.0246338045236083e-07,2.510214505973752e-06,1.0739174765867731e-07,1.0,1.000000003416084,20
qwen3-235b,base,2,2,A2,70,5.261915269790329e-06,1.0246338045236083e-07,5.261915269790329e-06,1.0739174765867731e-07,1.0,1.000000003416084,20
qwen3-235b,base,2,2,A2,74,1.0281880247687956e-05,8.90602100896969e-06,1.0281880247687956e-05,8.958145510016962e-06,1.0,1.0000000361301746,20
qwen3-235b,base,2,2,A2,76,0.1240266607265051,8.90602100896969e-06,0.1240266607265051,8.958145510016962e-06,1.0,1.0000000361301746,20
qwen3-235b,base,2,2,A2,84,1.03856416915887e-06,6.669330081948107e-09,1.03856416915887e-06,6.9483799226931375e-09,1.0,1.0000000001934226,20
qwen3-235b,base,2,2,A2,102,0.0840646762533191,5.006823499082887e-06,0.0840646762533191,4.952116784651087e-06,1.0,0.9999999620800643,20
qwen3-235b,base,2,2,A2,107,0.0035660663056804,3.8480121610992145e-07,0.0035660663056804,4.0427008309373424e-07,1.0,1.000000013494794,19
qwen3-235b,base,2,2,A2,109,1.2151790258077908e-06,1.1301966408302902e-08,1.2151790258077908e-06,1.1778048439498966e-08,1.0,1.000000000329995,20
qwen3-235b,base,2,2,A2,111,0.1054469902794762,1.1301966408302902e-08,0.1054469902794762,1.1778048439498966e-08,1.0,1.000000000329995,20
qwen3-235b,base,2,2,A2,116,2.2283206582569827e-06,1.645332763165585e-07,2.2283206582569827e-06,1.7232188895723632e-07,1.0,1.0000000053986555,20
qwen3-235b,base,2,2,A2,121,1.7228549014595415e-05,1.258503993187606e-05,1.7228549014595415e-05,1.2613944748733654e-05,1.0,1.0000000200354673,20
qwen3-235b,base,2,2,A2,122,0.0022024281853571,1.258503993187606e-05,0.0022024281853571,1.2613944748733654e-05,1.0,1.0000000200354673,20
