model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
llama-3.3-70b,placebo,post,y_adj,log,2,710,8.15118342238627,-3167.6423121673834,-3158.511782227313,0.011563093954278554,
llama-3.3-70b,placebo,post,y_adj,spline,4,710,8.144674357107913,-3164.209503739124,-3145.9484438589825,0.011613567261277213,
llama-3.3-70b,placebo,post,y_adj,zhu,6,710,7.8084476104479945,-3190.1417447410445,-3162.7501549208323,0.011251714602871268,
llama-3.3-70b,switch,full,y_raw,constant,1,834,37.06474387705829,-2594.715031769782,-2589.988798367423,0.04455884611868966,True
llama-3.3-70b,switch,full,y_raw,linear,2,834,37.03079612303034,-2593.4792458868615,-2584.026779082144,0.04458549161467354,True
llama-3.3-70b,switch,full,y_raw,log,2,834,36.796477305456186,-2598.773293492309,-2589.3208266875918,0.044282317274576356,True
llama-3.3-70b,switch,full,y_raw,spline,4,834,35.783832179493054,-2618.0468465330923,-2599.1419129236574,0.043151012921912306,True
llama-3.3-70b,switch,full,y_raw,zhu,6,834,25.050742606767443,-2911.4451618589746,-2883.0877614448223,0.031087549623304386,False
llama-3.3-70b,switch,full,y_adj,constant,1,834,10.595477667829377,-3639.082310239768,-3634.356076837409,0.012786617683370081,
llama-3.3-70b,switch,full,y_adj,linear,2,834,10.59350389832982,-3637.2376856892447,-3627.7852188845272,0.01282612495161668,
llama-3.3-70b,switch,full,y_adj,log,2,834,10.574029783316043,-3638.772244863497,-3629.3197780587793,0.012791501993429284,
llama-3.3-70b,switch,full,y_adj,spline,4,834,10.168801703770082,-3667.3621275269193,-3648.4571939174843,0.012351597113559553,
llama-3.3-70b,switch,full,y_adj,zhu,6,834,9.855380698145206,-3689.4720043478696,-3661.1146039337173,0.012003641156327302,
llama-3.3-70b,switch,post,y_raw,constant,1,560,26.52170949360488,-1705.9849695696785,-1701.6570327859492,0.047516421632769174,True
llama-3.3-70b,switch,post,y_raw,linear,2,560,26.15776059115837,-1711.7228844660651,-1703.0670108986067,0.04700330141011326,True
llama-3.3-70b,switch,post,y_raw,log,2,560,26.0532352925339,-1713.9651035403895,-1705.309229972931,0.046807741884846515,True
llama-3.3-70b,switch,post,y_raw,spline,4,560,25.898685974270713,-1713.2969485011372,-1695.9852013662205,0.04669281629085201,True
llama-3.3-70b,switch,post,y_raw,zhu,6,560,20.94936911568485,-1828.0638209095914,-1802.0962002072163,0.03908203776891411,True
llama-3.3-70b,switch,post,y_adj,constant,1,560,7.504773420990067,-2412.9426053240477,-2408.6146685403187,0.013511463187060422,
llama-3.3-70b,switch,post,y_adj,linear,2,560,7.304355416812614,-2426.1009493875167,-2417.4450758200583,0.013217719030026383,
llama-3.3-70b,switch,post,y_adj,log,2,560,7.276309038153021,-2428.25530819174,-2419.5994346242815,0.013171753500602104,
llama-3.3-70b,switch,post,y_adj,spline,4,560,7.255937857933374,-2425.825315703559,-2408.5135685686423,0.013216308875370196,
llama-3.3-70b,switch,post,y_adj,zhu,6,560,7.154436089437635,-2429.714344900609,-2403.7467241982336,0.013353931597098441,
qwen3-235b,base,full,y_raw,constant,1,1135,32.58899469518748,-4027.7190779926577,-4022.6846900627424,0.02900200609534027,True
qwen3-235b,base,full,y_raw,linear,2,1135,32.45662078962997,-4030.3387464854864,-4020.2699706256553,0.02907546206621857,True
qwen3-235b,base,full,y_raw,log,2,1135,32.126179613549134,-4041.95341805101,-4031.884642191179,0.028752556263835192,True
qwen3-235b,base,full,y_raw,spline,4,1135,30.71749699532862,-4088.8454958734383,-4068.707944153776,0.027605263361303763,True
qwen3-235b,base,full,y_raw,zhu,6,1135,30.522811181511244,-4092.0619567195536,-4061.8556291400605,0.02760822976247323,True
qwen3-235b,base,full,y_adj,constant,1,1135,30.84203046796766,-4090.2533331299624,-4085.218945200047,0.02743845289706431,
qwen3-235b,base,full,y_adj,linear,2,1135,30.79758619341773,-4089.8900811530107,-4079.8213052931796,0.027604046242804693,
qwen3-235b,base,full,y_adj,log,2,1135,30.828929240302976,-4088.7355663785916,-4078.6667905187605,0.027596794250831173,
qwen3-235b,base,full,y_adj,spline,4,1135,30.29990288462144,-4104.38128457532,-4084.243732855658,0.027225908849024514,
