spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,S-P,20,,-0.03489266832254323,-0.12598034879316244,0.05626079938794832,-0.02636615698402392,0.2116552777981412,8,0.5034446716308594,0.47490501403808594,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,P-B,20,,0.09876536547101429,0.030805243582515778,0.16844324445527403,0.09226847401532873,0.1607751918845599,14,0.11531829833984375,0.017181396484375,0.30926513671875,0.17672293526785715
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,comm,20,,-0.004946957679608116,-0.07620188737901044,0.06075480364265156,0.02137026661913012,0.16081840243132117,13,0.26317596435546875,0.7841262817382812,0.9733981428475216,0.9180015005716463
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,S-P,20,,-0.03751616025076948,-0.13127632698824515,0.058495009385564206,-0.05088897101153511,0.2218059121625158,8,0.5034446716308594,0.5705966949462891,0.9489735194614956,0.8741055752368684
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,P-B,20,,0.06513840514232275,-0.04124571160863036,0.1658436711170817,0.11954424085209614,0.2422401560190614,13,0.26317596435546875,0.3117942810058594,0.9489735194614956,0.8163341175426136
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,comm,11,"2,3,4,8,10,11,12,14,15",0.004369092682757372,-0.07586686527292676,0.08597218422417104,-0.006917047872376292,0.14352253930659206,5,1.0,1.0,1.0,1.0
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,S-P,14,"3,4,10,12,14,15",0.012923137082640437,-0.06781546551036982,0.0910931555767364,0.04504367648719604,0.1578979509156617,8,0.79052734375,0.855224609375,0.9781737327575684,0.9343749089027519
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,P-B,12,"2,3,4,8,11,12,14,15",0.0261136560313769,-0.06317533298520586,0.1241624355757945,0.010041077203948146,0.17246267595883122,7,0.7744140625,0.67724609375,0.9489735194614956,0.8865767045454546
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,prepost,comm,6,"1,2,3,4,6,8,10,11,12,14,15,17,18,19",0.08621446333676595,-0.1276106851839395,0.28100438318568205,0.11929473948406875,0.28310357931762575,4,0.6875,0.5625,0.9489735194614956,0.8709677419354839
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,prepost,S-P,9,"1,2,3,4,10,12,14,15,17,18,19",0.09894758396135116,-0.10074935775771784,0.2914111042739539,0.09238223320973532,0.3150339747541088,6,0.5078125,0.42578125,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,prepost,P-B,6,"1,2,3,4,6,8,10,11,12,14,15,17,18,19",-0.07278237784120921,-0.20012259412197095,0.055350706878738144,-0.11219811925395473,0.17851171297289012,2,0.6875,0.4375,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,level,comm,19,3,-0.0009838531005157314,-0.002921510075200046,1.2881337350186539e-05,-8.524744302746432e-06,0.004165688896033732,7,0.359283447265625,0.1956329345703125,0.9489735194614956,0.6402532404119318
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,level,S-P,19,3,-4.4368254958057975e-05,-0.00015438338267375292,3.233272949755514e-05,3.5265956913445654e-06,0.00021731137106647635,10,1.0,0.6225624084472656,0.9489735194614956,0.8865767045454546
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,level,P-B,19,3,-0.0018789696911153467,-0.0057323701526539265,0.00010270197964606843,-1.1043813735072457e-05,0.008312472189081892,9,1.0,0.2934989929199219,0.9489735194614956,0.8127664419320914
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,prepost,comm,19,3,-0.0009008807181853833,-0.002869263661531935,0.00015257282645391378,-1.4495866439797787e-06,0.004173814246464357,9,1.0,0.7380905151367188,0.9489735194614956,0.9150249577370011
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,prepost,S-P,19,3,7.441281930544049e-05,-0.00012194110799139274,0.0003455344206682799,2.3145006001363275e-05,0.0005370338740905665,11,0.6476058959960938,0.4653167724609375,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,10,read_only,llama-3.3-70b,prepost,P-B,19,3,-0.0019505870749816478,-0.005849378914667613,0.00011819712492796548,2.6090194805339926e-05,0.008300807288424203,10,1.0,0.8595733642578125,0.9781737327575684,0.9343749089027519
read_only,mean_H_renorm_bits,10,read_only,qwen3-235b,level,comm,20,,0.02724613552042441,-0.03565385426193047,0.09292827363812398,-0.008410744543306148,0.14936681801665516,10,1.0,0.6742229461669922,0.9489735194614956,0.8865767045454546
read_only,mean_H_renorm_bits,10,read_only,qwen3-235b,level,S-P,20,,-0.02572459903665548,-0.11246203833118845,0.06509596129555362,-0.07876143616603698,0.2070167595871081,8,0.5034446716308594,0.5458755493164062,0.9489735194614956,0.8544139032778533
