spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family,sensitivity,p_bh_family_endpoints
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,S-P,19,3,2.1123386096813467e-05,-0.0002754612769445,0.0003415438785479,2.544137579648997e-05,0.0006712260901314,10,1.0,0.7380905151367188,0.9489735194614956,0.9150249577370012,primary (s03),0.9802720053901885
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,P-B,19,3,3.788781460698422e-05,-0.0002853967673883,0.0003200276700249,4.990858662004159e-05,0.000663290894864,14,0.063568115234375,0.0493659973144531,0.5625,0.3741422954358552,primary (s03),0.4442939758300779
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,comm,20,,0.0144900144129639,-0.052570510631686,0.0817264818614109,0.0142186028528922,0.1567835956443753,11,0.8238029479980469,0.6742229461669922,0.9489735194614956,0.8865767045454546,primary (s03),0.9395622991746472
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,S-P,20,,-0.0348926683225432,-0.1259803487931624,0.0562607993879483,-0.0263661569840239,0.2116552777981412,8,0.5034446716308594,0.4749050140380859,0.9489735194614956,0.8337080023261938,primary (s03),0.8656496458415743
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,P-B,20,,0.0987653654710142,0.0308052435825157,0.168443244455274,0.0922684740153287,0.1607751918845599,14,0.1153182983398437,0.017181396484375,0.30926513671875,0.1767229352678571,primary (s03),0.21206752232142856
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,comm,20,,-0.0049469576796081,-0.0762018873790104,0.0607548036426515,0.0213702666191301,0.1608184024313211,13,0.2631759643554687,0.7841262817382812,0.9733981428475216,0.9180015005716464,primary (s03),0.9802720053901885
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,S-P,20,,-0.0375161602507694,-0.1312763269882451,0.0584950093855642,-0.0508889710115351,0.2218059121625158,8,0.5034446716308594,0.5705966949462891,0.9489735194614956,0.8741055752368684,primary (s03),0.9232126300254565
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,prepost,P-B,20,,0.0651384051423227,-0.0412457116086303,0.1658436711170817,0.1195442408520961,0.2422401560190614,13,0.2631759643554687,0.3117942810058594,0.9489735194614956,0.8163341175426136,primary (s03),0.8626976876237273
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,comm,11,"2,3,4,8,10,11,12,14,15",0.0043690926827573,-0.0758668652729267,0.085972184224171,-0.0069170478723762,0.143522539306592,5,1.0,1.0,1.0,1.0,primary (s03),1.0
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,S-P,14,"3,4,10,12,14,15",0.0129231370826404,-0.0678154655103698,0.0910931555767364,0.045043676487196,0.1578979509156617,8,0.79052734375,0.855224609375,0.9781737327575684,0.934374908902752,primary (s03),0.980727711172079
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,level,P-B,12,"2,3,4,8,11,12,14,15",0.0261136560313769,-0.0631753329852058,0.1241624355757945,0.0100410772039481,0.1724626759588312,7,0.7744140625,0.67724609375,0.9489735194614956,0.8865767045454546,primary (s03),0.9407405546623794
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,prepost,comm,6,"1,2,3,4,6,8,10,11,12,14,15,17,18,19",0.0862144633367659,-0.1276106851839395,0.281004383185682,0.1192947394840687,0.2831035793176257,4,0.6875,0.5625,0.9489735194614956,0.8709677419354839,primary (s03),0.9204545454545454
read_only,mean_H_renorm_bits,10,read_only,gpt-4o-mini,prepost,S-P,9,"1,2,3,4,10,12,14,15,17,18,19",0.0989475839613511,-0.1007493577577178,0.2914111042739539,0.0923822332097353,0.3150339747541088,6,0.5078125,0.42578125,0.9489735194614956,0.8337080023261938,primary (s03),0.8626976876237273
