model,condition,seed,pre,post,prepost,level,end_turn,spec,metric,window,adjust
qwen3-235b,switch,20,0.23745798157101317,0.38995023156974024,0.15249224999872707,0.38995023156974024,13,main,mean_H_renorm_bits,5,adj
gpt-4o-mini,base,1,0.1688354217151483,0.35458048165984163,0.18574505994469334,0.35458048165984163,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,2,0.5729535406532393,0.2914257666707437,-0.2815277739824956,0.2914257666707437,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,3,0.2520836573652119,0.4263829250518393,0.1742992676866274,0.4263829250518393,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,4,0.2263160818490546,0.25560496656752213,0.029288884718467523,0.25560496656752213,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,5,0.2544717058054559,0.3165934801761939,0.06212177437073796,0.3165934801761939,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,6,0.17642561094910816,0.2475797616879582,0.07115415073885004,0.2475797616879582,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,7,0.33235447759125153,0.3235637163464077,-0.008790761244843848,0.3235637163464077,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,8,0.39258520767266486,0.36026172568526815,-0.03232348198739671,0.36026172568526815,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,9,0.2133068193674395,0.21811216410889625,0.004805344741456746,0.21811216410889625,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,10,0.19019565888459053,0.4809298435842826,0.29073418469969203,0.4809298435842826,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,11,0.31921774890403665,0.35979665857019594,0.04057890966615929,0.35979665857019594,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,12,0.21769736178409024,0.41580381080714757,0.19810644902305732,0.41580381080714757,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,13,0.36180947031397154,0.2378532972286623,-0.12395617308530923,0.2378532972286623,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,14,0.20364383347429943,0.1780258024993773,-0.02561803097492213,0.1780258024993773,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,15,0.3733305292367607,0.2885379963251189,-0.0847925329116418,0.2885379963251189,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,16,0.2764124288143988,0.3183067148076316,0.041894285993232805,0.3183067148076316,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,17,0.20762861003303576,0.5188726545216167,0.3112440444885809,0.5188726545216167,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,18,0.16784777172614881,0.538234991723682,0.3703872199975332,0.538234991723682,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,19,0.24584226329004988,0.2438650158498071,-0.001977247440242774,0.2438650158498071,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,base,20,0.3025631015229501,0.4041508437353352,0.10158774221238515,0.4041508437353352,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,1,0.3246963075538614,0.45767340130863265,0.13297709375477124,0.45767340130863265,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,2,0.3402513539189987,0.21869741511478566,-0.12155393880421303,0.21869741511478566,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,3,0.2198975319538976,0.4039349606524307,0.18403742869853307,0.4039349606524307,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,4,0.19101906771862048,0.2994902420137381,0.1084711742951176,0.2994902420137381,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,5,0.21505064491734846,0.30789371391138715,0.09284306899403869,0.30789371391138715,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,6,0.2193777345698714,0.4334280360301744,0.214050301460303,0.4334280360301744,30,main,mean_H_renorm_bits,10,raw
