model,condition,turn,runs_paired,I_minus_shuffled,hard_I_MM,null95_soft,null95_hard,p_perm_soft,p_perm_hard,H_system_bits,H_system_ci_low,H_system_ci_high,sum_H_bits
gpt-4o-mini,placebo,22,14,0.3983179188354069,0.6384600665861555,0.5297076489893138,0.789844598471014,0.22554890219560877,0.17365269461077845,2.8800571742681607,2.0638097054841973,2.9991766619689884,3.280376833678181
gpt-4o-mini,placebo,23,14,0.3477790852446674,0.29109885440610067,0.4793785509062351,0.4410892451282343,0.18363273453093812,0.2714570858283433,3.0171772946775546,2.316406863068063,3.041146201057681,3.36667668985033
gpt-4o-mini,placebo,24,14,0.41794696639437623,0.4049294289370507,0.6327288891616656,0.6532319305519043,0.2874251497005988,0.3373253493013972,2.9319419760297576,2.079243611919911,2.963058862218194,3.3519576056643743
gpt-4o-mini,placebo,25,14,0.4601478840371369,0.6088403555280035,0.6400938097692189,0.7682062501545337,0.3013972055888224,0.25149700598802394,3.073909050389509,2.098417634639624,3.191090541174407,3.5364331162779035
gpt-4o-mini,placebo,26,14,0.46607840858760374,0.5507754275060803,0.5017980572101017,0.7990779291209336,0.07584830339321358,0.34331337325349304,2.981077682514356,1.9022521777172896,3.144132425328152,3.449491876820824
gpt-4o-mini,placebo,27,14,0.7178231677703777,0.7429151372127103,0.5595561602048594,0.7429151372127103,0.007984031936127744,0.0658682634730539,2.9768490633647087,2.1931731139535,3.056579693255569,3.698515471068854
gpt-4o-mini,placebo,28,13,0.5698731462464419,0.6771344174636722,0.6171964998447225,0.8386625305490472,0.09381237524950099,0.2055888223552894,3.0343699610278927,2.017386839438441,3.18167753145336,3.6086037140731815
gpt-4o-mini,placebo,29,13,0.2782765978895738,0.6548925701625279,0.5652023800977068,0.8642269948121033,0.5169660678642715,0.2435129740518962,3.2227855800719096,1.9887481057380287,3.3672079069366694,3.5027423212513646
gpt-4o-mini,placebo,30,13,0.5032217407882822,0.4787007197430422,0.6236813170544222,0.7838130288415814,0.3153692614770459,0.6027944111776448,3.1523928126899525,2.0334273324124177,3.2395148021715543,3.658694199698608
gpt-4o-mini,switch,1,20,6.907113769827333e-12,0.0,1.096445401919249e-11,0.0,0.20758483033932135,1.0,0.0023895474619461,0.0020044658570735,0.002756261034291,0.002389547468873
gpt-4o-mini,switch,2,20,2.7818503195442545e-09,0.0,1.499931025113198e-08,0.0,0.46506986027944114,1.0,0.0385157648706396,0.0117527731319756,0.0688500343944056,0.0385157676608364
gpt-4o-mini,switch,3,20,0.007131423965282213,0.04411346367460234,0.034022850408193965,0.2262579449756139,0.3932135728542914,0.590818363273453,1.7835672006870873,1.4099216161481218,2.01206465943478,1.7907174412994191
gpt-4o-mini,switch,4,20,0.010231455080842444,0.03075178095594612,0.08432164138524845,0.195099604846094,0.5728542914171657,0.592814371257485,2.242847259830486,1.8114586602454317,2.3437179774857047,2.253108782662469
gpt-4o-mini,switch,5,20,0.2338379745065584,0.14493726747035443,0.21390979110841027,0.3348832184324446,0.02594810379241517,0.3772455089820359,2.357038295797735,1.756806419206632,2.57940866860596,2.5914932985446697
gpt-4o-mini,switch,6,20,0.08477429726658148,0.17891635913652773,0.12565026467944784,0.3282168604832725,0.18962075848303392,0.27345309381237526,2.522373565451539,2.047459599980898,2.7227204817850943,2.607382655822036
gpt-4o-mini,switch,7,20,0.07932807847965506,0.36529389753193287,0.0929878530967331,0.16697089661788223,0.08183632734530938,0.007984031936127744,2.4112682373125542,2.0580838826546137,2.572415124717858,2.4908007776723142
gpt-4o-mini,switch,8,20,0.014940037008236207,0.0034236942779100193,0.14783382484220028,0.16068604566424316,0.9101796407185628,1.0,2.384795804160004,1.950985102130996,2.4652080712974223,2.399775743338023
gpt-4o-mini,switch,9,20,0.06486113754230916,0.13886610077337383,0.1776125180284839,0.27825123828310067,0.49500998003992014,0.3313373253493014,2.7697429053049683,2.1541599067579287,2.9264014632546584,2.834814143836881
gpt-4o-mini,switch,10,20,0.23403307293078646,0.2556927721587492,0.25872831915960953,0.4941695366520489,0.08183632734530938,0.5209580838323353,2.427585054331981,1.5741845054347277,2.7816448460435907,2.6628606516646336
gpt-4o-mini,switch,11,19,0.06659881273781076,0.23613251991834527,0.19296719013384847,0.30637070794632715,0.872255489021956,0.13373253493013973,2.819508775659432,2.1558092206334782,2.9784591812355896,2.8862935162801437
gpt-4o-mini,switch,12,19,0.1746066502942072,0.2563084082221003,0.2985756733552063,0.5519896962581132,0.41317365269461076,0.530938123752495,2.796119142496078,2.007360226710806,3.020489381708682,2.9712115397249086
gpt-4o-mini,switch,13,19,0.16162640968498732,0.2008133756090649,0.40211703005302935,0.7357629841002984,0.8542914171656687,0.9760479041916168,3.175300789921318,2.368521968650112,3.323660461693478,3.337402856864255
gpt-4o-mini,switch,14,19,0.2953430672304056,0.5350150163917795,0.4402937261567167,0.49179328004681366,0.500998003992016,0.043912175648702596,3.2182517862962623,2.55650893568326,3.2703563981795822,3.5143675962851804
gpt-4o-mini,switch,15,19,0.37956668887511746,0.5214177534520656,0.4521007967841789,0.664646570317565,0.11776447105788423,0.1936127744510978,3.090334333874579,2.313942407533808,3.204073004950851,3.4712103355732387
gpt-4o-mini,switch,16,18,0.19518581349718112,0.22979362304676776,0.45717173395009264,0.5581301266097233,0.874251497005988,0.7225548902195609,3.2200229423485824,2.262924643154278,3.3836682271367606,3.4163400431170885
gpt-4o-mini,switch,17,18,0.17749596223840403,0.2880611955600827,0.4097670033751317,0.6596060588226101,0.7524950099800399,0.469061876247505,3.3611071975429447,2.514901630895837,3.453233988612326,3.53916053780984
gpt-4o-mini,switch,18,18,0.24056012953418726,0.03786711422575542,0.5019624973864266,0.6025361454109466,0.8083832335329342,1.0,3.4874471357724683,2.686668378487603,3.47807173146976,3.728698654627772
gpt-4o-mini,switch,19,18,0.10257169211532524,0.09090147213593405,0.36078020722975923,0.47714980798126144,0.936127744510978,0.7584830339321357,3.412008226354292,2.679839444911174,3.420806274816275,3.5148387203689344
gpt-4o-mini,switch,20,18,0.6614262207096404,0.6887041131221693,0.5845733071447228,0.7578770296686436,0.01996007984031936,0.11976047904191617,3.1010198174967267,2.2818474994453486,3.2023205957978917,3.764447413828375
gpt-4o-mini,switch,21,10,0.25478504910735333,0.7434391042641533,0.46241103781366594,0.5567796494470394,0.5508982035928144,0.03592814371257485,3.052498493063262,2.0710224116227414,3.2060687414546227,3.310103900206828
gpt-4o-mini,switch,22,10,0.3978075552790452,0.5411303456337295,0.4025258242469655,0.5411303456337295,0.07984031936127745,0.17165668662674652,2.05319369945511,1.2765416637740412,2.3932592356772844,2.463490913872344
gpt-4o-mini,switch,23,9,0.14879594800421492,0.2987291126413981,0.36047845929836675,0.8233232815796736,0.437125748502994,0.7524950099800399,2.7001613485921614,1.901595721416062,2.7994979077082847,2.851308501695665
gpt-4o-mini,switch,24,9,0.3613639019246051,0.7688538376160001,0.4806945475714383,1.155102173461328,0.37325349301397204,0.8023952095808383,3.0114372790304222,2.2164978574277288,3.0197721600394534,3.3783347446861347
gpt-4o-mini,switch,25,7,0.23898649515771542,0.5774062828523454,0.6415117964481822,0.9661702143444143,0.43313373253493015,0.3932135728542914,2.85396778666609,1.5106999341795655,3.012321341504648,3.098952982849579
gpt-4o-mini,switch,26,6,0.20844561996844524,0.45914791702724456,0.687144381583456,1.0385204207952363,0.9580838323353293,1.0,2.5544420012052105,1.4993268213365272,2.549440471579966,2.770064084148867
gpt-4o-mini,switch,27,5,0.011136298105467013,0.0,0.04324770806986833,0.0,0.810379241516966,1.0,1.6451240846383557,0.7513517306600194,1.8530545560456333,1.6570312869394372
gpt-4o-mini,switch,28,5,0.30287243053381996,0.4199730940219748,0.38378714725366603,1.1152200985435647,0.3393213572854291,1.0,2.6057215458459533,1.4642457896475265,2.6057215458459533,2.9270212041753934
gpt-4o-mini,switch,29,5,0.41017821784632513,0.3219280948873622,0.41221259332401106,0.3219280948873622,0.13972055888223553,0.4171656686626746,2.131390906887769,0.9513467765781124,2.438207926777176,2.5775986943963782
gpt-4o-mini,switch,30,5,0.6297397628922079,1.1152200985435652,0.8296836510998133,1.1152200985435652,0.26147704590818366,0.4111776447105788,2.3062726436145287,1.16054734698106,2.34755381600082,2.971637983818302
llama-3.3-70b,base,1,20,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0
llama-3.3-70b,base,2,20,3.1319391524675666e-13,0.0,6.94516666399636e-13,0.0,1.0,1.0,0.5861631749670063,0.3257044390573981,0.7654968147098822,0.5861631749673211
llama-3.3-70b,base,3,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0034508591622284,-0.0,0.0091242336702218,0.0034508591622284
llama-3.3-70b,base,4,20,0.00013181593111832868,0.0,0.004976684359383032,0.0,0.8223552894211577,1.0,1.0448670570006653,0.8030698676876431,1.269226778979855,1.0449992487660291
llama-3.3-70b,base,5,20,-3.203546369151544e-16,0.0,0.0,0.0,1.0,1.0,0.0002077295257336,-0.0,0.000567797391984,0.0002077295257336
llama-3.3-70b,base,6,19,0.00180109388196803,0.0,0.0036960131773163024,0.0,0.2834331337325349,1.0,0.5815261361249855,0.3494811328898797,0.75523804788115,0.5833310693063916
llama-3.3-70b,base,7,19,-1.6653345369377348e-16,0.0,-1.6653345369377348e-16,0.0,1.0,1.0,0.2978824048747033,-0.0,0.6304699838489153,0.2978824048747033
llama-3.3-70b,base,8,19,4.870323061265114e-05,0.004220579197928731,0.00014395211944727405,0.3354379078900518,0.29740518962075846,1.0,0.1697902323211568,0.0704318147961742,0.2792455968133954,0.1698390162062897
llama-3.3-70b,base,9,18,-1.6017132512044896e-16,0.00973003660186822,-1.6017132512044896e-16,0.3496182913972408,1.0,1.0,9.93827850252864e-10,-0.0,2.852160008785552e-09,9.93827850252864e-10
llama-3.3-70b,base,10,20,0.00031914788096398805,0.024820125232881685,0.0015497094919377007,0.3307195545487167,0.562874251497006,1.0,0.3644732554154044,0.0868501674077198,0.6384176942239093,0.3647929279658977
llama-3.3-70b,base,11,20,1.8599558951060136e-06,0.024820125232881685,7.754330072479165e-05,0.024820125232881685,0.8423153692614771,0.7005988023952096,0.138206373998716,4.337510611980322e-05,0.31931739613505,0.1382082365159134
llama-3.3-70b,base,12,20,0.0008512019173310126,0.03838971020210846,0.0046873591681357496,0.16566483636000107,0.7764471057884231,0.718562874251497,0.5680455517565137,0.1835763118744764,0.8097640311105213,0.5688983845036075
llama-3.3-70b,base,13,20,4.111213308807468e-10,0.03838971020210846,8.804158756203773e-10,0.1994295136313875,0.9461077844311377,0.7764471057884231,0.0006026988001506,6.138690196755411e-05,0.0011842410735147,0.0006026992118331
llama-3.3-70b,base,14,17,0.00770579702030294,0.09962790569272029,0.0386553065084086,0.17570439200201662,0.11976047904191617,0.38922155688622756,0.5450978485498615,0.0874350140375571,0.9489647290775888,0.5528572064503214
llama-3.3-70b,base,15,19,1.7039357971315727e-05,0.13320381570773487,0.00013658404937900992,0.2092482071843813,0.6047904191616766,0.3313373253493014,0.3576008683328067,0.000313832693455,0.8044473737495251,0.3576179342946759
llama-3.3-70b,base,16,20,0.00024828431751316993,0.11774369689072062,0.009485600104972878,0.12599809021652542,0.6287425149700598,0.25349301397205587,0.3720657226550219,0.0735149547463582,0.7019782082859157,0.3723144451460261
llama-3.3-70b,base,17,19,3.5196734375214644e-06,0.13320381570773487,8.20627816231767e-05,0.2092482071843813,0.3972055888223553,0.3313373253493014,0.038922453804282,0.0046875587064488,0.0822920989793231,0.0389259788291752
llama-3.3-70b,base,18,20,0.0016018070349490543,0.15077783549806534,0.009056699106645024,0.2109412613915711,0.5808383233532934,0.1157684630738523,0.4576935027606483,0.0361170625358293,0.8161322578840973,0.4592976680353144
llama-3.3-70b,base,19,18,2.2443799286425703e-06,-0.021764080426856465,5.61128095856421e-06,0.08108121927442008,0.5129740518962076,0.6626746506986028,0.0394958775117159,0.0057704045394728,0.0869973430520602,0.0394981257935869
llama-3.3-70b,base,20,17,0.0002549065597700628,0.006172865480526021,0.006985219851656743,0.3356982796970399,0.469061876247505,1.0,0.3195121244967011,0.0219077210212439,0.6212017033868328,0.3197675556338777
llama-3.3-70b,base,21,20,0.00029656760716517683,-0.03468292022249028,0.008257465444954874,0.2931446039807071,0.3712574850299401,1.0,0.2309663800835168,0.0239169780216773,0.4034755004031091,0.2312633580381132
llama-3.3-70b,base,22,19,0.0003855254379719064,0.025851416613045713,0.0010129593821214908,0.24732693969026576,0.10978043912175649,0.4750499001996008,0.2022991642503891,0.0259628670818712,0.3760693725781295,0.2026868173440376
llama-3.3-70b,base,23,19,8.613670858234612e-05,0.05361286113667975,0.00047480529018213843,0.305158598536045,0.8063872255489022,0.48902195608782434,0.2013848243967732,0.0082117661294595,0.3742076574654781,0.201471099883436
