model,target,contrast,param,diff,boot_sd_a,boot_sd_b,ratio,flagged
qwen3-235b,y_raw,placebo-base,H0,0.23896003322715056,0.4572388324884436,0.3908520733326135,0.3972568253404303,False
qwen3-235b,y_adj,switch-placebo,A,-1.7570138014812162,1.74650446842789,1.4816091255209372,0.7671566744718216,False
qwen3-235b,y_adj,switch-placebo,lam,0.3258267235489055,0.1312396637341116,0.12141643763615202,1.8224008436883232,False
qwen3-235b,y_adj,switch-placebo,omega,0.43180491751084693,0.7844896745826593,0.9265821415848294,0.35566571884053594,False
qwen3-235b,y_adj,switch-placebo,phi,0.060007007236969834,1.9287610656572736,2.0384581057386995,0.021382811646819842,False
qwen3-235b,y_adj,switch-placebo,beta,-0.06214168003290503,0.06541775589556725,0.1981661103902346,0.2977778915496178,False
qwen3-235b,y_adj,switch-placebo,H0,0.1394237395923386,0.1683022141441247,0.5816312419036183,0.23026521306279946,False
qwen3-235b,y_adj,switch-base,A,-1.7208919399283114,1.74650446842789,2.2380246582915566,0.6061947268367689,False
qwen3-235b,y_adj,switch-base,lam,0.2732564143394173,0.1312396637341116,0.11406726093557497,1.571498673743628,False
qwen3-235b,y_adj,switch-base,omega,2.416803981577929,0.7844896745826593,0.45184831514616214,2.669579451545818,True
qwen3-235b,y_adj,switch-base,phi,-4.258513195320295,1.9287610656572736,1.6264805352142082,1.6878729428303392,False
qwen3-235b,y_adj,switch-base,beta,-0.08990772815393605,0.06541775589556725,0.12530856306655588,0.6360343964133518,False
qwen3-235b,y_adj,switch-base,H0,0.3149203523745786,0.1683022141441247,0.4099033376511528,0.7107048476193903,False
qwen3-235b,y_adj,placebo-base,A,0.03612186155290487,1.4816091255209372,2.2380246582915566,0.013458159898893044,False
qwen3-235b,y_adj,placebo-base,lam,-0.052570309209488256,0.12141643763615202,0.11406726093557497,0.3155609712435526,False
