model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
llama-3.3-70b,placebo,14,all_states,18,0.21402511998921375,0.5292721110169405,0.7432972310061543,0.06917755026657525,0.6741196807395791,0.01252412212621721,0.06915126183680974,0.05665342814035804,0.03996003996003996
llama-3.3-70b,placebo,14,active_only,16,0.06842575423765604,0.029265498271456636,0.09769125250911267,5.936387500266739e-05,0.09763188863411,3.3224295978535876e-05,8.100746799580161e-05,2.6139579024131513e-05,0.16283716283716285
llama-3.3-70b,placebo,15,all_states,19,0.015402216041542731,0.5048736090456143,0.520275825087157,0.00018169560765913783,0.5200941294794978,0.000579236341719795,0.004192008491851497,-0.00039754073406065725,0.983016983016983
llama-3.3-70b,placebo,15,active_only,17,0.01691900082479112,0.021696712805548166,0.03861571363033929,4.070045176966015e-06,0.03861164358516232,8.789330960029846e-06,5.416816859083647e-05,-4.71928578306383e-06,0.8421578421578422
llama-3.3-70b,placebo,16,all_states,16,0.035135133804090994,0.7114833650513699,0.7466184988554608,0.00030373904785607167,0.7463147598076048,0.0011071137721943348,0.003053713511994685,-0.0008033747243382631,0.8211788211788211
llama-3.3-70b,placebo,16,active_only,13,0.038536573541386815,0.01879520606304504,0.05733177960443185,9.416352906940495e-06,0.05732236325152491,1.1169025567566177e-05,3.5674727972354196e-05,-1.7526726606256826e-06,0.3706293706293706
llama-3.3-70b,placebo,17,all_states,18,0.029100390642136563,0.7715402059098422,0.8006405965519787,0.0006629521060337963,0.7999776444459449,0.001922741184524254,0.005458179629104374,-0.0012597890784904575,1.0
llama-3.3-70b,placebo,17,active_only,14,0.03531812602472067,0.009431613515856745,0.04474973954057741,3.866252115057581e-06,0.04474587328846236,7.676884886586827e-06,4.141219634584001e-05,-3.8106327715292456e-06,1.0
llama-3.3-70b,placebo,18,all_states,15,0.16912320756532204,0.8381026713835977,1.0072258789489197,0.011396041609940377,0.9958298373389793,0.019163575217710973,0.04635884068031002,-0.007767533607770596,0.6343656343656343
llama-3.3-70b,placebo,18,active_only,11,0.21508520116693372,0.001993540148768665,0.21707874131570237,2.7021368676173595e-06,0.21707603917883475,1.5975945011342375e-05,0.0001195052284484923,-1.3273808143725015e-05,1.0
llama-3.3-70b,placebo,19,all_states,18,0.13373679340901967,0.8541187131239832,0.9878555065330029,0.008853632182266181,0.9790018743507367,0.009103156249572926,0.02423931696703162,-0.0002495240673067445,0.5844155844155844
