model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
gpt-4o-mini,placebo,8,0.20688214289610038,0.23068720876293466,0.023805065866834285,0.19033443594102883,0.2376878589286385,0.04735342298760967,0.2820345582272554,0.47422996188922784,0.1921954036619724,-0.016095853823699546
gpt-4o-mini,placebo,9,0.23294671184886417,0.24796280991575095,0.01501609806688678,0.2300248786391594,0.25498665828205697,0.024961779642897558,0.31922661177896544,0.38728510790420057,0.06805849612523512,0.017053189578860956
gpt-4o-mini,placebo,10,0.2622961270418965,0.27059126722770577,0.008295140185809291,0.27356815075088486,0.261636093386918,-0.011932057363966853,0.40302952388360114,0.3245892404472698,-0.07844028343633136,-0.0022597895344637076
gpt-4o-mini,placebo,11,0.21619789120690447,0.2750406899240275,0.05884279871712306,0.22046247398179353,0.2760921067866657,0.05562963280487215,0.21726462849855338,0.552353969909338,0.33508934141078467,0.011413933973109525
gpt-4o-mini,placebo,12,0.2668634748966238,0.24929573926754584,-0.017567735629077985,0.2602183629659874,0.2525006492962586,-0.007717713669728787,0.38347364620733504,0.36289343541386443,-0.02058021079347061,-0.057945875836202865
gpt-4o-mini,placebo,13,0.23084768301747585,0.221422031167025,-0.009425651850450856,0.2450272917451075,0.2238669541036182,-0.021160337641489307,0.2116431719254514,0.4009784857444915,0.18933531381904012,-0.011596868410992167
gpt-4o-mini,placebo,14,0.1877820746200631,0.21465625872017724,0.026874184100114135,0.2014044652748154,0.22721926751290109,0.025814802238085688,0.2466465928068835,0.3977081550752121,0.15106156226832862,-0.010622573012379649
gpt-4o-mini,placebo,15,0.1749129657151008,0.2306993045561729,0.05578633884107212,0.15965513808380413,0.2428991978668353,0.08324405978303118,0.17535691331451694,0.4882596366958243,0.3129027233813073,0.04007249848925773
gpt-4o-mini,placebo,16,0.28227845135513246,0.18579250281125395,-0.09648594854387851,0.27719202300996165,0.20211226897562445,-0.0750797540343372,0.20419736150796858,0.3021830431382754,0.0979856816303068,-0.16800707846707985
gpt-4o-mini,placebo,17,0.2342599947229244,0.3069410931683842,0.07268109844545981,0.24870013312580477,0.31133077074958343,0.06263063762377866,0.27690188132045584,0.35972482517812876,0.08282294385767291,0.03993743855497689
gpt-4o-mini,placebo,18,0.20556276229481568,0.3052356932318093,0.09967293093699364,0.22142617616096852,0.295168779575298,0.0737426034143295,0.22041674490583674,0.4681914294083554,0.24777468450251866,3.576937243088274e-05
gpt-4o-mini,placebo,19,0.1720256713458365,0.24530399302183237,0.07327832167599588,0.18692131631083297,0.22794291811089795,0.04102160180006498,0.06403866492277765,0.3551201191279484,0.29108145420517073,-0.05958907141083761
gpt-4o-mini,placebo,20,0.2058548750518387,0.2307697993924352,0.0249149243405965,0.2235650711619829,0.22650440570529826,0.002939334543315353,0.2982490318058747,0.36578721203643866,0.06753818023056396,-0.05562375323927851
gpt-4o-mini,switch,1,0.23262041166659095,0.24712145645527503,0.014501044788684081,0.2168043915336472,0.2553536759280629,0.03854928439441571,0.28689426676807483,0.3983379278200366,0.11144366105196174,0.04460298609277552
gpt-4o-mini,switch,2,0.23533233909791257,0.32217228962405164,0.08683995052613908,0.238776006032484,0.32318237669359073,0.08440637066110673,0.4217033500378219,0.44863888008600883,0.02693553004818694,0.15404300592198095
gpt-4o-mini,switch,3,0.1938374625101231,0.17585220486679834,-0.01798525764332476,0.20767365227247309,0.18103861474584623,-0.026635037526626854,0.1609347568419337,0.3302452467990349,0.16931048995710118,-0.05525161374454651
gpt-4o-mini,switch,4,0.24178409599288048,0.23626588176290753,-0.005518214229972951,0.24666308426763078,0.24048575697196553,-0.0061773272956652525,0.37846682153788797,0.411547421691467,0.033080600153579054,-0.08285934533716288
gpt-4o-mini,switch,5,0.412023848138158,0.39622076745330537,-0.015803080684852644,0.4053945147131035,0.40188091651877816,-0.0035135981943253403,0.3373597201903436,0.5074132270802963,0.17005350688995274,0.023243757609642063
gpt-4o-mini,switch,6,0.20572826614388337,0.3472552808127288,0.1415270146688454,0.2029218862908245,0.3488449525886753,0.14592306629785082,0.372101586531413,0.3443553613090071,-0.027746225222405885,0.14742629054194428
gpt-4o-mini,switch,7,0.22105724948086652,0.33101440083435146,0.10995715135348494,0.21474811282288558,0.33827628649879227,0.12352817367590668,0.2894204062987721,0.42387054419443443,0.13445013789566235,0.09038303093158712
gpt-4o-mini,switch,8,0.1914169741518279,0.24217281537413124,0.05075584122230334,0.19782794632877237,0.24909053579366564,0.05126258946489326,0.35855043575821693,0.3256614039786617,-0.03288903177955521,0.044893196839915106
gpt-4o-mini,switch,9,0.20977611518071843,0.27851313710934145,0.06873702192862302,0.20678948935034497,0.2892464675425521,0.08245697819220715,0.31023500558310807,0.3498808092403017,0.03964580365719361,0.11715990188585804
gpt-4o-mini,switch,10,0.15163601847133326,0.320574369787682,0.16893835131634874,0.1629646127905973,0.3274201243278813,0.16445551153728402,0.044459229096649525,0.4122706830563719,0.36781145395972237,0.08630091764235992
gpt-4o-mini,switch,11,0.20619120145557557,0.2708584017330207,0.06466720027744516,0.207273630951448,0.27047559064997456,0.06320195969852657,0.21020756304523405,0.4104749981503126,0.20026743510507852,0.02257345395653118
gpt-4o-mini,switch,12,0.22336039190495824,0.23672789630781021,0.013367504402851976,0.2350792470359627,0.23622398663125485,0.0011447395952921546,0.3147971854077727,0.43088796481506486,0.11609077940729218,-0.07891562430653692
gpt-4o-mini,switch,13,0.19511748691295439,0.27073154398958066,0.07561405707662627,0.2090834652989857,0.2692514572538825,0.060167991954896805,0.2849994073197938,0.3786039704426277,0.09360456312283394,0.05668911576411634
gpt-4o-mini,switch,14,0.17633522040962382,0.20395442865433494,0.02761920824471112,0.1899056840588257,0.1690238331061481,-0.02088185095267761,0.1732810010606642,0.5025631660135135,0.32928216495284923,0.02252477865361871
gpt-4o-mini,switch,15,0.15085305494186438,0.22503789572253266,0.07418484078066828,0.16526180466135404,0.2338114803064444,0.06854967564509037,0.13566213586029055,0.4426263171660593,0.30696418130576875,0.019889573852758385
gpt-4o-mini,switch,16,0.15530466012834424,0.2311162491728367,0.07581158904449248,0.13678416941926144,0.24131754442734757,0.10453337500808613,0.38070233842229123,0.2772970484051218,-0.10340529001716942,0.05599457728088722
gpt-4o-mini,switch,17,0.2222474549856401,0.24569001424106626,0.023442559255426154,0.23704733482800572,0.250180321109275,0.013132986281269299,0.2776095855333577,0.48268592618267764,0.20507634064931995,-0.13443552655012336
gpt-4o-mini,switch,18,0.1721550793141255,0.2928942006828916,0.12073912136876613,0.1763143161367186,0.2920063360398556,0.11569201990313699,0.2310570834797922,0.5128902313829627,0.28183314790317054,0.05136014032563835
gpt-4o-mini,switch,19,0.149792494320544,0.30028255510832547,0.15049006078778146,0.16421369170580907,0.28759866959365726,0.12338497788784819,0.14642539282002737,0.4825245139145967,0.33609912109456935,0.06951686084718423
gpt-4o-mini,switch,20,0.2104863607059674,0.18212791324518846,-0.02835844746077895,0.21599212888849695,0.1919794155524892,-0.02401271333600774,0.41131322550107885,0.40971367067681386,-0.0015995548242649926,-0.18866084720896178
llama-3.3-70b,base,1,0.1865728245691864,0.23090067924271035,0.04432785467352396,0.20804445211107872,0.21808607617880735,0.010041624067728627,0.16826176311715463,0.0824409366452865,-0.08582082647186813,0.008602160020690586
llama-3.3-70b,base,2,0.15890652692732155,0.10974423693650673,-0.04916228999081482,0.1775479656148544,0.10812067581451018,-0.06942728980034421,0.1382544068608251,0.05770354627771605,-0.08055086058310905,-0.14224167475332253
llama-3.3-70b,base,3,0.11451566763969963,0.19993058878726105,0.08541492114756143,0.13463449572930367,0.18193542814498267,0.04730093241567901,0.020117714668068058,0.0031447062813459454,-0.01697300838672211,0.11729178544521679
llama-3.3-70b,base,4,0.14625615700074804,0.17228853089911875,0.02603237389837071,0.16777547801432505,0.1766447162626824,0.008869238248357364,0.04460133408640206,0.028325693630950097,-0.016275640455451962,0.034590911791350154
